time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-21T15:58:50.300Z,-33.2585,136.923,10,4.2,mb,,139,0.852,0.71,us,us1000hxfr,2018-11-30T04:17:15.040Z,"62km NE of Cleve, Australia",earthquake,7.4,1.9,0.215,7,reviewed,us,us
2018-11-08T21:07:01.460Z,-34.3508,116.8388,10,5.2,mww,,61,1.458,0.97,us,us1000hpej,2018-11-24T06:39:45.251Z,"64km ESE of Manjimup, Australia",earthquake,8.7,1.8,0.089,12,reviewed,us,us
2018-10-16T19:01:20.020Z,-11.5645,117.8664,35.84,4.1,mb,,99,4.778,1.14,us,us1000hej6,2018-11-15T21:37:24.040Z,"246km SSW of Panenggoede, Indonesia",earthquake,7.9,12.9,0.37,2,reviewed,us,us
2018-10-12T16:31:30.360Z,-34.3495,116.8696,10,4.5,mb,,151,1.451,1.26,us,us1000hb52,2018-11-09T17:49:26.821Z,"62km SSW of Kojonup, Australia",earthquake,7.9,1.9,0.121,20,reviewed,us,us
2018-10-12T15:27:21.620Z,-11.5324,117.3186,10,4.1,mb,,102,4.357,0.79,us,us1000hb7s,2018-11-09T17:40:50.040Z,"279km SW of Panenggoede, Indonesia",earthquake,7.2,1.9,0.14,14,reviewed,us,us
2018-10-12T07:58:19.010Z,-10.5178,120.1093,10,4.6,mb,,80,2.811,1.23,us,us1000hayw,2018-11-03T12:27:15.040Z,"38km S of Lailunggi, Indonesia",earthquake,6.1,1.9,0.119,21,reviewed,us,us
2018-10-11T12:27:56.760Z,-10.7452,124.288,10,4.2,mb,,119,0.983,1.16,us,us1000hdci,2018-11-15T13:39:39.040Z,"97km S of Soe, Indonesia",earthquake,7.9,1.9,0.187,8,reviewed,us,us
2018-10-04T04:08:58.440Z,-10.6129,120.3073,35,4.6,mb,,80,2.735,0.67,us,us1000h6tz,2018-11-07T02:35:11.040Z,"46km S of Nggongi, Indonesia",earthquake,7.5,2,0.096,32,reviewed,us,us
2018-10-03T18:46:39.470Z,-10.674,120.3119,31.19,4.2,mb,,84,2.776,0.63,us,us1000h6ge,2018-11-06T23:51:28.040Z,"53km S of Nggongi Satu, Indonesia",earthquake,5.7,6.6,0.132,16,reviewed,us,us
2018-10-03T18:29:00.810Z,-10.6081,120.2558,34.02,4.3,mb,,84,2.767,0.73,us,us1000h6g6,2018-11-06T23:49:48.040Z,"45km S of Nggongi, Indonesia",earthquake,4,6.7,0.125,18,reviewed,us,us
2018-10-03T14:46:41.290Z,-10.5736,120.2955,28.74,4.1,mb,,79,2.715,1.34,us,us1000ha0w,2018-11-14T06:08:26.040Z,"42km S of Nggongi Satu, Indonesia",earthquake,7.5,6.6,0.157,11,reviewed,us,us
2018-10-03T12:20:15.540Z,-10.5921,120.4018,11.99,4.2,mb,,79,2.656,0.73,us,us1000ha0l,2018-11-14T05:58:53.040Z,"43km SSW of Mbulung, Indonesia",earthquake,7.2,3.5,0.115,21,reviewed,us,us
2018-10-03T11:54:01.580Z,-10.6054,120.306,34.06,4.6,mb,,80,2.731,0.65,us,us1000h67z,2018-11-14T05:55:07.040Z,"46km S of Nggongi Satu, Indonesia",earthquake,7.4,4.2,0.079,48,reviewed,us,us
2018-10-03T09:58:05.560Z,-10.5411,120.2423,8.38,5,mww,,80,2.73,0.75,us,us1000h66t,2018-11-20T22:49:19.040Z,"38km S of Nggongi Satu, Indonesia",earthquake,7,4.4,0.078,16,reviewed,us,us
