time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-14T18:47:20.550Z,43.8533,94.1723,10,4.5,mb,,58,8.872,0.56,us,us1000hrrq,2018-11-29T00:27:49.040Z,"103km SW of Bayan-Ovoo, Mongolia",earthquake,6.5,1.9,0.078,48,reviewed,us,us
2018-11-09T17:14:15.560Z,47.6441,90.3333,10,4.4,mb,,40,5.545,1.04,us,us1000hpue,2018-11-10T15:08:51.040Z,"39km WSW of Rashaant, Mongolia",earthquake,8.3,1.9,0.075,56,reviewed,us,us
2018-10-28T11:52:59.680Z,45.1319,99.3557,10,4.2,mb,,154,5.561,1.1,us,us1000hi7j,2018-11-03T06:09:50.040Z,"36km ENE of Bayanbulag, Mongolia",earthquake,15.5,2,0.186,8,reviewed,us,us
2018-07-30T04:59:29.000Z,45.6604,94.076,10,4.4,mb,,69,8.251,0.78,us,us1000g2kw,2018-10-16T15:34:05.040Z,"25km WNW of Bayangol, Mongolia",earthquake,7.2,1.7,0.071,58,reviewed,us,us
2018-07-11T01:29:39.660Z,49.9049,87.9689,43.36,4.3,mb,,76,4.493,1.18,us,us2000g1th,2018-10-02T16:40:33.040Z,"34km SW of Chaganuzun, Russia",earthquake,6.5,6.2,0.078,46,reviewed,us,us
2018-04-14T00:31:27.680Z,45.828,103.7102,14.3,4.1,mb,,118,2.725,0.75,us,us2000e01u,2018-07-07T02:25:22.040Z,"24km E of Shiree, Mongolia",earthquake,8.2,6.6,0.165,10,reviewed,us,us
2018-03-30T16:05:32.170Z,45.5362,97.6417,10,4.5,mb,,82,6.445,1.06,us,us1000dbg8,2018-06-22T21:32:16.040Z,"34km NW of Talshand, Mongolia",earthquake,6.4,1.8,0.095,32,reviewed,us,us
2018-03-28T10:17:38.900Z,42.1746,104.5943,10,4,mb,,56,5.801,0.69,us,us2000dv1w,2018-06-22T21:32:12.040Z,"86km SSW of Sangiyn Dalay, Mongolia",earthquake,8.1,2,0.138,14,reviewed,us,us
2018-03-14T18:14:42.810Z,48.3876,101.4364,10,4.2,mb,,75,3.368,1.09,us,us1000d7hb,2018-06-11T21:53:44.040Z,"16km SSE of Oldziyt, Mongolia",earthquake,10.7,1.9,0.09,34,reviewed,us,us
2018-02-06T15:57:50.840Z,43.623,102.1351,14.97,4.4,mb,,185,5.16,0.75,us,us2000d39y,2018-05-03T22:15:00.040Z,"32km W of Saynshand, Mongolia",earthquake,14.4,8.6,0.38,2,reviewed,us,us
