time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-28T17:35:25.840Z,35.509,-4.2068,10,2.8,ml,,181,3.31,1.2,us,us2000fqna,2018-09-21T16:25:59.040Z,"37km NW of Tirhanimine, Morocco",earthquake,8.8,2,0.091,16,reviewed,us,us
2018-06-04T22:11:43.740Z,32.5435,-4.5132,10,4.3,mb,,126,0.281,0.95,us,us1000ein5,2018-08-29T16:33:50.040Z,"23km S of Amersid, Morocco",earthquake,9.1,1.9,0.081,43,reviewed,us,us
2017-07-11T03:18:19.340Z,35.8088,-1.6856,10,4.8,mwr,,46,1.857,0.87,us,us100098pt,2017-10-06T23:56:13.040Z,"62km NNW of Beni Saf, Algeria",earthquake,4.7,1.9,0.066,22,reviewed,us,us
2017-07-08T10:42:50.160Z,35.9107,-1.6313,10,4.3,mb,,84,1.747,1.22,us,us1000984v,2017-10-03T00:47:54.040Z,"70km NW of El Amria, Algeria",earthquake,7.2,1.9,0.178,9,reviewed,us,us
2017-07-05T03:27:09.410Z,33.4516,-2.8606,10,4.3,mb,,69,1.597,0.99,us,us100096tl,2017-10-03T00:47:49.040Z,"61km SSE of Debdou, Morocco",earthquake,7.2,1.9,0.153,12,reviewed,us,us
2017-02-20T07:44:10.090Z,30.2546,-9.8262,10,4.4,mb,,110,3.664,0.56,us,us20008lc6,2017-05-17T01:19:33.040Z,"28km SW of Agadir, Morocco",earthquake,7.4,2,0.179,9,reviewed,us,us
2016-04-24T15:54:00.960Z,33.5258,-11.4314,13.51,4.6,mb,,62,4.181,0.66,us,us20005lf1,2016-07-08T02:49:20.040Z,"246km NW of Safi, Morocco",earthquake,7.5,4.3,0.063,75,reviewed,us,us
2016-04-08T07:10:08.020Z,35.5244,-3.7976,10,4.3,mb,,130,2.166,0.81,us,us20005iet,2016-06-21T01:14:03.040Z,"33km NNE of Al Hoceima, Morocco",earthquake,8.6,1.9,0.147,13,reviewed,us,us
2016-04-05T17:39:02.140Z,35.7225,-3.7432,10,4.2,mb,,124,3.612,1.26,us,us20005hgt,2016-06-17T21:45:38.040Z,"55km NNE of Al Hoceima, Morocco",earthquake,5.9,1.9,0.124,21,reviewed,us,us
2016-04-02T14:48:04.900Z,35.4893,-3.8335,10,4.2,mb,,128,3.095,0.66,us,us20005gdu,2016-06-17T21:45:06.040Z,"28km NNE of Al Hoceima, Morocco",earthquake,6,1.9,0.264,4,reviewed,us,us
2016-03-16T23:10:45.330Z,35.6679,-3.5522,10,4.2,mb,,124,2.806,0.46,us,us20005asz,2016-05-21T00:05:34.040Z,"57km N of Boudinar, Morocco",earthquake,9.4,2,0.175,9,reviewed,us,us
2016-03-16T19:43:08.720Z,35.7179,-3.701,10,4.1,mb,,124,2.862,0.59,us,us20005asy,2016-05-21T00:05:34.040Z,"56km NNE of Al Hoceima, Morocco",earthquake,8.2,1.9,0.261,4,reviewed,us,us
2016-03-16T16:27:34.440Z,35.2459,-3.7026,10,4.7,mb,,30,2.369,1.05,us,us20005a6s,2016-05-21T00:05:34.040Z,"12km NW of Boudinar, Morocco",earthquake,6.4,1.8,0.062,79,reviewed,us,us
2016-03-15T04:40:39.110Z,35.6879,-3.634,10,5.2,mww,,30,0.548,0.66,us,us10004xp4,2016-11-10T22:14:32.542Z,"56km NNE of Al Hoceima, Morocco",earthquake,3.2,1.8,,,reviewed,us,us
2016-03-13T20:54:00.910Z,35.4791,-3.6897,10,4.2,mb,,127,2.265,1.34,us,us20005afn,2016-05-21T00:05:29.040Z,"34km NE of Al Hoceima, Morocco",earthquake,4.8,2,0.176,9,reviewed,us,us
2016-03-12T15:17:12.030Z,35.6643,-3.5879,10,4.9,mww,,59,2.266,0.62,us,us10004x0y,2016-05-21T00:05:27.040Z,"56km N of Boudinar, Morocco",earthquake,4.2,1.8,,,reviewed,us,us
2016-03-12T15:04:05.380Z,35.6221,-3.5757,10,4.8,mww,,45,2.291,0.78,us,us10004x0u,2016-05-21T00:05:27.040Z,"51km N of Boudinar, Morocco",earthquake,7.5,1.8,,,reviewed,us,us
2016-03-11T09:40:21.790Z,35.854,-3.7957,10,4.3,mb,,122,2.043,0.89,us,us200059zf,2016-05-21T00:05:24.040Z,"68km N of Al Hoceima, Morocco",earthquake,4.4,1.9,0.178,9,reviewed,us,us
2016-03-11T04:19:47.560Z,35.6577,-3.6245,10,4.6,mb,,72,2.856,0.65,us,us20005a01,2016-05-21T00:05:24.040Z,"53km NNE of Al Hoceima, Morocco",earthquake,5.8,1.9,0.165,11,reviewed,us,us
2016-03-11T04:16:47.910Z,35.6992,-3.5952,10,5,mww,,24,2.248,0.69,us,us10004wp4,2016-05-21T00:05:24.040Z,"59km NNE of Al Hoceima, Morocco",earthquake,6.4,1.7,,,reviewed,us,us
2016-03-10T23:04:19.370Z,35.7077,-3.6625,10,4.2,mb,,89,2.194,1.05,us,us10004xth,2016-05-16T18:01:51.040Z,"56km NNE of Al Hoceima, Morocco",earthquake,7.6,1.9,0.121,19,reviewed,us,us
